################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.7336523005023732E+01 a       512     0    26     1    12
  1.0654578235705495E+01 a       513     0    26     1    13
  6.5479620088389851E+01 a       514     0    26     1    14
  3.9288477046675901E+01 a       515     0    26     1    15
 -4.2300146587099938E+01 a       516     0    26     1    16
  6.0083032157359625E+01 a       517     0    26     1    17
  1.2634397400230240E+02 a       518     0    26     1    18
 -3.9841919683359997E+01 a       519     0    26     1    19
  5.6937779132071846E+01 a       520     0    26     1    20
  1.2119120228851928E+01 a       521     0    27     1     1
  1.4445027148706931E+01 a       522     0    27     1     2
  1.4042616561037605E+01 a       523     0    27     1     3
  5.7389687676483433E+01 a       524     0    27     1     4
  2.3326728792375086E+01 a       525     0    27     1     5
 -8.4428345674640326E+00 a       526     0    27     1     6
  4.6074080082927118E+01 a       527     0    27     1     7
  5.0730464571244749E+00 a       528     0    27     1     8
 -5.4656259047884592E-01 a       529     0    27     1     9
  5.2461752375443183E+01 a       530     0    27     1    10
  6.1215158362995137E-01 a       531     0    27     1    11
 -1.1249626772005506E+01 a       532     0    27     1    12
 -3.9226770107344755E+01 a       533     0    27     1    13
 -5.3766749346876651E+01 a       534     0    27     1    14
  7.9353098410868398E+01 a       535     0    27     1    15
  2.2656763615291297E+01 a       536     0    27     1    16
 -8.4194527018326525E+01 a       537     0    27     1    17
 -1.6774135221880684E+01 a       538     0    27     1    18
  5.7284583679725620E-01 a       539     0    27     1    19
 -2.8774662292263923E+01 a       540     0    27     1    20
 -8.2218923872542024E-03 a       541     0    28     1     1
 -8.3058856866651959E-03 a       542     0    28     1     2
  4.5763356969491575E-01 a       543     0    28     1     3
 -1.4265664650957686E+00 a       544     0    28     1     4
 -5.5420872830947232E-01 a       545     0    28     1     5
  6.8471536104091568E-01 a       546     0    28     1     6
  4.1160517460147961E-01 a       547     0    28     1     7
  1.0820370554482246E+00 a       548     0    28     1     8
 -1.7119518144702289E-01 a       549     0    28     1     9
 -2.0349390568430650E+00 a       550     0    28     1    10
 -2.1253076195969417E-01 a       551     0    28     1    11
  7.3152584211774929E-01 a       552     0    28     1    12
 -9.3396911544429403E-02 a       553     0    28     1    13
 -1.9088069727888677E+00 a       554     0    28     1    14
 -8.4632929259528156E-01 a       555     0    28     1    15
  9.3843256497821370E-01 a       556     0    28     1    16
 -5.5982294020122714E-01 a       557     0    28     1    17
 -4.2818796318177581E+00 a       558     0    28     1    18
  1.1427661387798234E+00 a       559     0    28     1    19
 -2.3861293671689361E+00 a       560     0    28     1    20
 -2.5653140044800082E-01 a       561     0    29     1     1
 -3.1499946976164972E-01 a       562     0    29     1     2
 -5.9947407611038805E-01 a       563     0    29     1     3
 -1.1317853815685401E+00 a       564     0    29     1     4
 -5.9192564732940633E-01 a       565     0    29     1     5
  3.2677936319654412E-02 a       566     0    29     1     6
 -1.2574821472611577E+00 a       567     0    29     1     7
 -4.8411384610099688E-02 a       568     0    29     1     8
  1.3240155049136940E-01 a       569     0    29     1     9
 -1.3061774380077043E+00 a       570     0    29     1    10
  1.2099953542906054E-01 a       571     0    29     1    11
  4.7912905557525026E-01 a       572     0    29     1    12
  9.1901895743194606E-01 a       573     0    29     1    13
  1.2583499774665201E+00 a       574     0    29     1    14
 -2.2556651767300857E+00 a       575     0    29     1    15
  1.6158823434250449E-01 a       576     0    29     1    16
  2.1668443481974329E+00 a       577     0    29     1    17
  4.2203300437212504E-01 a       578     0    29     1    18
 -4.7150876374687477E-02 a       579     0    29     1    19
  9.6620008353336639E-01 a       580     0    29     1    20
 -1.0543577374978882E-01 a       581     0    30     1     1
  1.3393309778710747E+00 a       582     0    30     1     2
 -3.4529373531339907E-01 a       583     0    30     1     3
 -2.0538021850084189E+00 a       584     0    30     1     4
 -1.0494842540048872E+00 a       585     0    30     1     5
  1.3555134004333615E+00 a       586     0    30     1     6
  2.9319419892873926E+00 a       587     0    30     1     7
  2.2329170220997208E+00 a       588     0    30     1     8
  2.7183237629255053E-01 a       589     0    30     1     9
 -2.7091328340587486E+00 a       590     0    30     1    10
 -5.6639081291188764E-01 a       591     0    30     1    11
  6.9095714197090319E-01 a       592     0    30     1    12
 -3.9385707695143979E-01 a       593     0    30     1    13
 -4.3630225581234523E+00 a       594     0    30     1    14
 -3.7479896217640682E+00 a       595     0    30     1    15
  2.6486259640793999E+00 a       596     0    30     1    16
 -5.0925592969410323E+00 a       597     0    30     1    17
 -7.4423628777460671E+00 a       598     0    30     1    18
  2.3146873766905567E+00 a       599     0    30     1    19
 -2.4279826986165181E+00 a       600     0    30     1    20
 -9.5131195641225408E-01 a       601     0    31     1     1
 -1.3366364482746598E+00 a       602     0    31     1     2
 -8.3089540499136194E-01 a       603     0    31     1     3
 -5.0287064013556266E+00 a       604     0    31     1     4
 -1.6202139068819994E+00 a       605     0    31     1     5
  7.9938905921451819E-01 a       606     0    31     1     6
 -3.0296892056542015E+00 a       607     0    31     1     7
 -2.5874315123639452E-01 a       608     0    31     1     8
 -1.8167596283325996E-01 a       609     0    31     1     9
 -3.7250743096799628E+00 a       610     0    31     1    10
  8.7236199990195121E-02 a       611     0    31     1    11
  5.9538724320653547E-01 a       612     0    31     1    12
  2.7524314660955276E+00 a       613     0    31     1    13
  4.1262964040690235E+00 a       614     0    31     1    14
 -5.4947417798710960E+00 a       615     0    31     1    15
 -2.9709828338577626E+00 a       616     0    31     1    16
  5.8813175187958464E+00 a       617     0    31     1    17
  1.4544857367803878E+00 a       618     0    31     1    18
  4.6791158732023309E-02 a       619     0    31     1    19
  1.7356560830134284E+00 a       620     0    31     1    20
  1.6132089426472640E-01 a       621     0    32     1     1
 -2.0256274609827229E-01 a       622     0    32     1     2
  1.5338033357110337E+00 a       623     0    32     1     3
 -3.2568578454086956E+00 a       624     0    32     1     4
 -1.8766328509213186E+00 a       625     0    32     1     5
  2.7034267860851950E+00 a       626     0    32     1     6
  1.1319836135412227E+00 a       627     0    32     1     7
  3.9586352260252933E+00 a       628     0    32     1     8
 -2.2464311443576096E-01 a       629     0    32     1     9
 -7.4945625198306614E+00 a       630     0    32     1    10
 -1.3828809899788019E+00 a       631     0    32     1    11
  2.0137936157282192E+00 a       632     0    32     1    12
 -7.5504231614052364E-01 a       633     0    32     1    13
 -7.6286508564241302E+00 a       634     0    32     1    14
 -2.8883729441524970E+00 a       635     0    32     1    15
  5.2867437908812640E+00 a       636     0    32     1    16
 -5.0893310971526553E+00 a       637     0    32     1    17
 -1.5087430198989447E+01 a       638     0    32     1    18
  4.2567912284801297E+00 a       639     0    32     1    19
 -7.5840293676201629E+00 a       640     0    32     1    20
 -1.8995479873459808E+00 a       641     0    33     1     1
 -2.3854638575860356E+00 a       642     0    33     1     2
 -2.7731481628804207E+00 a       643     0    33     1     3
 -8.6661459287693390E+00 a       644     0    33     1     4
 -4.2169853958783907E+00 a       645     0    33     1     5
  1.0537960435478708E+00 a       646     0    33     1     6
 -7.0484887549208191E+00 a       647     0    33     1     7
 -7.9087667780592497E-01 a       648     0    33     1     8
  6.0794504411890427E-01 a       649     0    33     1     9
 -8.8634317608470905E+00 a       650     0    33     1    10
  3.2144341568003132E-01 a       651     0    33     1    11
  2.1949647057194701E+00 a       652     0    33     1    12
  5.8623026885435925E+00 a       653     0    33     1    13
  9.1561354781348196E+00 a       654     0    33     1    14
 -1.3612179008618329E+01 a       655     0    33     1    15
 -3.4349745317680447E+00 a       656     0    33     1    16
  1.3447656726217883E+01 a       657     0    33     1    17
  2.4825667335981847E+00 a       658     0    33     1    18
  6.2245104941111788E-02 a       659     0    33     1    19
  4.7298686572527560E+00 a       660     0    33     1    20
  4.4519819433794228E-01 a       661     0    34     1     1
 -2.2730724852695555E+01 a       662     0    34     1     2
 -1.2395598846507982E+01 a       663     0    34     1     3
 -9.0451674903358015E+00 a       664     0    34     1     4
  6.2937273160532670E-01 a       665     0    34     1     5
 -1.1926780060117985E+00 a       666     0    34     1     6
  2.3410302407530747E+01 a       667     0    34     1     7
  2.3033830252766609E+00 a       668     0    34     1     8
 -9.3771374688345066E-01 a       669     0    34     1     9
  9.7620652659821638E-01 a       670     0    34     1    10
  5.8918846748969766E+00 a       671     0    34     1    11
  7.4084072167877615E+00 a       672     0    34     1    12
 -9.0174331178914375E+00 a       673     0    34     1    13
  4.1451164837471071E+00 a       674     0    34     1    14
  6.5305603687972527E+00 a       675     0    34     1    15
 -1.1362057843700580E+01 a       676     0    34     1    16
 -6.8716675104464553E+00 a       677     0    34     1    17
  1.5819056885786919E+01 a       678     0    34     1    18
  1.1451617555131101E+01 a       679     0    34     1    19
 -7.5551362131265369E+00 a       680     0    34     1    20
 -2.4833631126329685E+00 a       681     0    35     1     1
 -1.1369966779169898E+00 a       682     0    35     1     2
 -4.2330743619054321E+00 a       683     0    35     1     3
 -9.4859880977161328E+00 a       684     0    35     1     4
 -6.3552681340015864E+00 a       685     0    35     1     5
  1.2278188287111669E+00 a       686     0    35     1     6
 -1.8984740530183874E+01 a       687     0    35     1     7
 -1.6914032234806833E+00 a       688     0    35     1     8
  2.2064951671418562E+00 a       689     0    35     1     9
 -9.2039820380517607E+00 a       690     0    35     1    10
  2.7509168817962277E+00 a       691     0    35     1    11
  8.4933647215448929E+00 a       692     0    35     1    12
  7.2748797867768973E+00 a       693     0    35     1    13
  5.5570811003861253E+00 a       694     0    35     1    14
 -8.4079575111623228E+00 a       695     0    35     1    15
 -9.8475182803670336E+00 a       696     0    35     1    16
  1.6060950120181477E+01 a       697     0    35     1    17
  1.6007933617537622E+00 a       698     0    35     1    18
  3.6711860023088745E+00 a       699     0    35     1    19
 -4.5746829269226119E-01 a       700     0    35     1    20
 -3.8818040199914470E+00 a       701     0    36     1     1
 -1.9170385294379635E+01 a       702     0    36     1     2
 -8.8114232219184547E+00 a       703     0    36     1     3
 -1.2392379115891737E+01 a       704     0    36     1     4
 -1.1497800288927267E+00 a       705     0    36     1     5
 -9.3201461242676373E+00 a       706     0    36     1     6
  2.5813668383422982E+01 a       707     0    36     1     7
  3.7039245780432184E+00 a       708     0    36     1     8
 -7.5620452873066775E+00 a       709     0    36     1     9
 -2.1239085377167073E+00 a       710     0    36     1    10
  9.0604038464295229E+00 a       711     0    36     1    11
  1.0716593979076910E+01 a       712     0    36     1    12
 -1.4147510181669160E+01 a       713     0    36     1    13
  2.3003682510987435E+01 a       714     0    36     1    14
 -8.7706654909127424E-01 a       715     0    36     1    15
 -6.1921123214848697E+00 a       716     0    36     1    16
 -1.5279413502522909E+01 a       717     0    36     1    17
  4.2405867792570390E+01 a       718     0    36     1    18
  1.6217386979260237E+01 a       719     0    36     1    19
  9.7327737926931892E+00 a       720     0    36     1    20
 -1.3691812225944779E+00 a       721     0    37     1     1
 -3.1382908174791315E+00 a       722     0    37     1     2
 -6.7847391481804902E+00 a       723     0    37     1     3
 -6.8086815437953057E+00 a       724     0    37     1     4
 -4.1903902942140938E+00 a       725     0    37     1     5
  3.8392948919654502E-01 a       726     0    37     1     6
 -1.2918403754135831E+01 a       727     0    37     1     7
 -1.9669893138944030E+00 a       728     0    37     1     8
  1.5054229735976115E+00 a       729     0    37     1     9
 -1.3917304375886812E+00 a       730     0    37     1    10
  1.7197849466550637E+00 a       731     0    37     1    11
  4.5013546246415537E+00 a       732     0    37     1    12
  5.2918947451977045E+00 a       733     0    37     1    13
  4.0139568106012620E+00 a       734     0    37     1    14
 -7.2246978051830961E+00 a       735     0    37     1    15
 -8.8907644163300947E+00 a       736     0    37     1    16
  1.4111673174514479E+01 a       737     0    37     1    17
  1.1776325459125172E+00 a       738     0    37     1    18
  1.4418448323413220E+00 a       739     0    37     1    19
  2.7954024016530217E+00 a       740     0    37     1    20
 -7.0058905615180966E-01 a       741     0    38     1     1
  8.3345331673022327E-02 a       742     0    38     1     2
  2.9718383218317581E+00 a       743     0    38     1     3
 -6.8800221194643907E+00 a       744     0    38     1     4
 -3.5036262899681945E+00 a       745     0    38     1     5
  2.1368302164191100E+00 a       746     0    38     1     6
  4.8975393553400393E+00 a       747     0    38     1     7
  7.5910842556993767E+00 a       748     0    38     1     8
 -2.8199226108147695E+00 a       749     0    38     1     9
 -1.3119909126263163E+01 a       750     0    38     1    10
 -8.7405888699728340E-01 a       751     0    38     1    11
  4.9877585792808770E+00 a       752     0    38     1    12
 -2.3137208056020344E+00 a       753     0    38     1    13
 -9.3932845315435873E+00 a       754     0    38     1    14
 -8.4448860562139174E+00 a       755     0    38     1    15
  9.1053873693266638E+00 a       756     0    38     1    16
 -1.1633540370346683E+01 a       757     0    38     1    17
 -2.0157624665280530E+01 a       758     0    38     1    18
  8.7786099999931757E+00 a       759     0    38     1    19
 -1.0302349449044680E+01 a       760     0    38     1    20
 -1.9755947879208362E+00 a       761     0    39     1     1
 -6.1933012229570430E+00 a       762     0    39     1     2
 -1.3909050751883672E+01 a       763     0    39     1     3
 -8.9551600072507416E+00 a       764     0    39     1     4
 -7.3906004529984255E+00 a       765     0    39     1     5
  4.1547231105619600E-02 a       766     0    39     1     6
 -1.9422638897442940E+01 a       767     0    39     1     7
 -3.7221836139396158E+00 a       768     0    39     1     8
  2.8130097341994915E+00 a       769     0    39     1     9
  3.8601584610426336E+00 a       770     0    39     1    10
  3.5615774695890097E+00 a       771     0    39     1    11
  8.4417793476987999E+00 a       772     0    39     1    12
  8.2779414409088314E+00 a       773     0    39     1    13
  4.8800632451306747E+00 a       774     0    39     1    14
 -1.0343909310567346E+01 a       775     0    39     1    15
 -1.4524879990622958E+01 a       776     0    39     1    16
  2.5650394120625148E+01 a       777     0    39     1    17
  9.5759227684071346E-01 a       778     0    39     1    18
  2.1067342932974755E+00 a       779     0    39     1    19
  4.4977369957335949E+00 a       780     0    39     1    20
 -7.9519671275233417E-01 a       781     0    40     1     1
 -6.8307029179189460E-01 a       782     0    40     1     2
 -5.9102139031035039E-01 a       783     0    40     1     3
  7.0836595132453306E+00 a       784     0    40     1     4
  1.8681050269157098E-01 a       785     0    40     1     5
  2.9311458234812386E+00 a       786     0    40     1     6
 -1.3011992507433996E+01 a       787     0    40     1     7
  4.7768744509590482E+00 a       788     0    40     1     8
 -6.1669025508141866E+00 a       789     0    40     1     9
 -1.2676471235802326E+01 a       790     0    40     1    10
 -1.9365430135159543E+00 a       791     0    40     1    11
  3.9126221889995207E+00 a       792     0    40     1    12
 -2.2077281255594317E+00 a       793     0    40     1    13
 -3.8605859982653072E+00 a       794     0    40     1    14
 -1.8589763854030139E+01 a       795     0    40     1    15
  7.0862969344637730E+00 a       796     0    40     1    16
  2.4537313435656807E+00 a       797     0    40     1    17
 -9.2725841958409010E+00 a       798     0    40     1    18
  3.4283048771800648E+00 a       799     0    40     1    19
 -1.4941150995115113E+00 a       800     0    40     1    20
 -2.7857362824265355E+00 a       801     0    41     1     1
 -1.1016732478097000E+01 a       802     0    41     1     2
 -2.5689760330229443E+01 a       803     0    41     1     3
 -1.2495838367496496E+01 a       804     0    41     1     4
 -1.1448491980008216E+01 a       805     0    41     1     5
 -1.0125380456596740E+00 a       806     0    41     1     6
 -3.5833286786977077E+01 a       807     0    41     1     7
 -6.6780399995947253E+00 a       808     0    41     1     8
  5.2629407369300898E+00 a       809     0    41     1     9
  8.9299300531350543E+00 a       810     0    41     1    10
  7.1118573322918817E+00 a       811     0    41     1    11
  1.5130187604622332E+01 a       812     0    41     1    12
  1.2598410048631717E+01 a       813     0    41     1    13
  5.0137200805975919E+00 a       814     0    41     1    14
 -1.1781030231207678E+01 a       815     0    41     1    15
 -2.7699184494169909E+01 a       816     0    41     1    16
  4.2338631819687258E+01 a       817     0    41     1    17
  1.2001606234232871E+00 a       818     0    41     1    18
  4.6621329139771612E+00 a       819     0    41     1    19
  6.3969634613287170E+00 a       820     0    41     1    20
 -8.2737166795208450E-01 a       821     0    42     1     1
  6.9383593038720692E-01 a       822     0    42     1     2
  4.8711379373148951E+00 a       823     0    42     1     3
 -2.4057246284860474E+00 a       824     0    42     1     4
 -1.4230774710795919E+00 a       825     0    42     1     5
  5.3782579983839671E+00 a       826     0    42     1     6
 -4.3625095438328065E+00 a       827     0    42     1     7
  4.3004491058514391E+00 a       828     0    42     1     8
 -3.1861534082016743E+00 a       829     0    42     1     9
 -1.8422112875783909E+00 a       830     0    42     1    10
 -2.2634643182338343E+00 a       831     0    42     1    11
  3.1689291226037847E-01 a       832     0    42     1    12
 -1.8420957111791938E+00 a       833     0    42     1    13
 -2.9669971348669510E+00 a       834     0    42     1    14
 -5.0325819872295066E+00 a       835     0    42     1    15
  4.0585782533600607E+00 a       836     0    42     1    16
 -1.6479236016436540E+00 a       837     0    42     1    17
 -1.5213073773104393E+01 a       838     0    42     1    18
  2.9862756004754667E+00 a       839     0    42     1    19
 -6.0185845202134054E+00 a       840     0    42     1    20
  1.8723707258855307E-01 a       841     0    43     1     1
 -4.9735301127149412E-01 a       842     0    43     1     2
  7.1921969535504571E-01 a       843     0    43     1     3
 -5.5252414589076337E-01 a       844     0    43     1     4
  1.0111757422381967E-01 a       845     0    43     1     5
 -1.2711250586770356E-01 a       846     0    43     1     6
 -4.0055344265509130E-01 a       847     0    43     1     7
 -1.8743631108027661E-01 a       848     0    43     1     8
 -5.3154540879773071E-01 a       849     0    43     1     9
  5.9867323508310888E-01 a       850     0    43     1    10
  2.2836765579582860E-01 a       851     0    43     1    11
 -9.9272891414049735E-01 a       852     0    43     1    12
  4.3856015475723514E-01 a       853     0    43     1    13
  2.4991866716446025E+00 a       854     0    43     1    14
 -6.8670308227442878E-01 a       855     0    43     1    15
 -2.4064978397342318E-01 a       856     0    43     1    16
  7.0702123098143987E-01 a       857     0    43     1    17
 -6.1271366793546451E-02 a       858     0    43     1    18
  3.7755293152061956E-02 a       859     0    43     1    19
  5.6210105737246208E-01 a       860     0    43     1    20
 -6.2148313752828921E-01 a       861     0    44     1     1
  5.9970902730822295E-01 a       862     0    44     1     2
  1.4850606920918183E+00 a       863     0    44     1     3
  1.2395341603056684E-01 a       864     0    44     1     4
 -2.1986293100063699E+00 a       865     0    44     1     5
 -4.9300077714908697E-01 a       866     0    44     1     6
 -7.5526559453865286E-02 a       867     0    44     1     7
  1.6045993483553906E+00 a       868     0    44     1     8
  7.4264949346782583E-01 a       869     0    44     1     9
 -1.2240182318115568E-01 a       870     0    44     1    10
 -1.2442331766619754E+00 a       871     0    44     1    11
  1.0868032844545406E+00 a       872     0    44     1    12
  8.4203858392654118E-01 a       873     0    44     1    13
  3.6961282930583335E+00 a       874     0    44     1    14
 -3.7084900941835558E-01 a       875     0    44     1    15
 -1.4721459259420964E+00 a       876     0    44     1    16
 -1.2737655443996871E+00 a       877     0    44     1    17
 -6.6291074249716331E-01 a       878     0    44     1    18
  1.7474419768491023E+00 a       879     0    44     1    19
 -5.2626768479456409E-01 a       880     0    44     1    20
  3.4368004553773446E-01 a       881     0    45     1     1
 -4.9381390051327481E-02 a       882     0    45     1     2
 -7.3641801026047748E-01 a       883     0    45     1     3
 -1.0469025715114166E-01 a       884     0    45     1     4
  1.6259645041630695E+00 a       885     0    45     1     5
 -9.1934231381972153E-01 a       886     0    45     1     6
 -2.6497822081100000E+00 a       887     0    45     1     7
 -2.7302229797787098E-01 a       888     0    45     1     8
 -2.1705231495180914E+00 a       889     0    45     1     9
 -8.0188819159625035E-01 a       890     0    45     1    10
  1.4865905734178368E+00 a       891     0    45     1    11
 -4.0060335594419677E-01 a       892     0    45     1    12
 -8.9780007951756780E-01 a       893     0    45     1    13
 -1.6263020224058793E+00 a       894     0    45     1    14
 -8.5182000855230933E-01 a       895     0    45     1    15
  1.0440097851338237E+00 a       896     0    45     1    16
  2.5168339107980029E+00 a       897     0    45     1    17
 -7.4445066120053038E-01 a       898     0    45     1    18
 -8.4011395323545934E-01 a       899     0    45     1    19
 -9.4090063151300651E-01 a       900     0    45     1    20
  7.8215342140095701E-01 a       901     0    46     1     1
  1.0415373167023312E+00 a       902     0    46     1     2
 -4.5687733512572481E-01 a       903     0    46     1     3
  4.2006915685792784E-01 a       904     0    46     1     4
  1.3774375925949461E-01 a       905     0    46     1     5
  8.4530722454147622E-01 a       906     0    46     1     6
  8.2899924737415628E-02 a       907     0    46     1     7
  7.5813307370323202E-01 a       908     0    46     1     8
 -2.6578396040494551E-01 a       909     0    46     1     9
  9.0078941842242777E-01 a       910     0    46     1    10
  9.0598695474030722E-01 a       911     0    46     1    11
 -6.4025240026838937E-01 a       912     0    46     1    12
 -9.0974247443025930E-02 a       913     0    46     1    13
  9.7979744749830489E-01 a       914     0    46     1    14
  5.4419699208775441E-01 a       915     0    46     1    15
  3.7206784849930113E-01 a       916     0    46     1    16
 -2.0594465749263837E+00 a       917     0    46     1    17
 -5.4783885071536587E-01 a       918     0    46     1    18
  6.4328700872143463E-01 a       919     0    46     1    19
  6.1344217830305581E-01 a       920     0    46     1    20
  2.4032513932524853E+00 a       921     0    47     1     1
 -6.8664866202700947E-01 a       922     0    47     1     2
 -9.3308405595027555E+00 a       923     0    47     1     3
 -1.5776756396238376E+00 a       924     0    47     1     4
  5.9012131132583567E+00 a       925     0    47     1     5
 -1.0197975850923076E+00 a       926     0    47     1     6
 -6.4710322030205898E+00 a       927     0    47     1     7
 -3.3951626351415665E+00 a       928     0    47     1     8
 -5.1647338059218413E+00 a       929     0    47     1     9
 -1.2651828830320889E+01 a       930     0    47     1    10
  5.1845980609204503E+00 a       931     0    47     1    11
 -2.7995650906385117E+00 a       932     0    47     1    12
  6.4843874720331385E-01 a       933     0    47     1    13
  1.5872810428073656E+00 a       934     0    47     1    14
 -1.2276528562283935E-01 a       935     0    47     1    15
  5.1314117532098873E+00 a       936     0    47     1    16
  8.0378123889273638E+00 a       937     0    47     1    17
  5.5048018550107134E+00 a       938     0    47     1    18
 -3.1493661885390751E+00 a       939     0    47     1    19
 -3.0370725171891860E-01 a       940     0    47     1    20
 -5.7762853881035392E-01 a       941     0    48     1     1
  1.7102713816735267E+00 a       942     0    48     1     2
  5.6956361901496999E-01 a       943     0    48     1     3
  6.4616604640663162E+00 a       944     0    48     1     4
  2.1232097751642982E-03 a       945     0    48     1     5
  3.8226168859487193E+00 a       946     0    48     1     6
  5.8675725934331755E+00 a       947     0    48     1     7
 -7.8403010836846398E-01 a       948     0    48     1     8
  2.7279043411038089E+00 a       949     0    48     1     9
  5.6352792837710535E+00 a       950     0    48     1    10
 -3.7850042169501217E+00 a       951     0    48     1    11
  2.2263898730668369E-01 a       952     0    48     1    12
  6.9637808956574440E-02 a       953     0    48     1    13
 -7.2681332612010472E+00 a       954     0    48     1    14
 -3.9899916277979766E+00 a       955     0    48     1    15
 -1.5956790249057058E+00 a       956     0    48     1    16
 -7.1286439473449628E+00 a       957     0    48     1    17
 -5.5566552797405748E+00 a       958     0    48     1    18
 -9.3260253695455125E-02 a       959     0    48     1    19
 -3.2706929852058382E+00 a       960     0    48     1    20
 -3.2930428487824290E+00 a       961     0    49     1     1
 -9.5618425886519347E+00 a       962     0    49     1     2
 -6.1500519012705794E+00 a       963     0    49     1     3
  1.0678235970141086E+01 a       964     0    49     1     4
  2.3230620256220167E+00 a       965     0    49     1     5
  3.6239830806941478E+00 a       966     0    49     1     6
  3.1417194855459559E+01 a       967     0    49     1     7
  4.4570945548349341E+00 a       968     0    49     1     8
  1.2931048003727915E+01 a       969     0    49     1     9
  2.1231295351963695E+01 a       970     0    49     1    10
 -4.6066096901532019E+00 a       971     0    49     1    11
  1.6034693605945667E+00 a       972     0    49     1    12
 -8.6079321656592498E+00 a       973     0    49     1    13
 -1.0325027980083405E-01 a       974     0    49     1    14
  4.3098477062869831E+00 a       975     0    49     1    15
 -9.1292485658392319E+00 a       976     0    49     1    16
 -1.8943316458087391E+01 a       977     0    49     1    17
  9.9398414568447932E-02 a       978     0    49     1    18
  5.1075680367932552E+00 a       979     0    49     1    19
  8.8929793745415875E+00 a       980     0    49     1    20
  2.8147574514264506E+00 a       981     0    50     1     1
 -7.2480949065439146E+00 a       982     0    50     1     2
  1.7940708986754561E+01 a       983     0    50     1     3
 -2.9750556534426092E+01 a       984     0    50     1     4
 -5.7660924866083656E+00 a       985     0    50     1     5
 -9.1923701860831137E+00 a       986     0    50     1     6
 -1.7020791947792507E+01 a       987     0    50     1     7
 -4.4777690586802894E+00 a       988     0    50     1     8
 -4.1556533855257693E-01 a       989     0    50     1     9
  1.3492887673815119E+00 a       990     0    50     1    10
  3.1453421614344341E+00 a       991     0    50     1    11
  8.7216969974374319E+00 a       992     0    50     1    12
  7.6774513811900897E+00 a       993     0    50     1    13
  4.1539117112477690E+00 a       994     0    50     1    14
  1.1807249041949868E+01 a       995     0    50     1    15
  1.7523203407819413E+01 a       996     0    50     1    16
  1.9785902675831000E+01 a       997     0    50     1    17
  1.3804957637918584E+01 a       998     0    50     1    18
 -6.0575256786230645E+00 a       999     0    50     1    19
  3.7229337305548382E+00 a      1000     0    50     1    20
 -1.3900279052848707E+00 a      1001     0    51     1     1
 -2.4633995652256671E+00 a      1002     0    51     1     2
  5.6853749696735800E-01 a      1003     0    51     1     3
  1.5798763554954087E+00 a      1004     0    51     1     4
 -7.7202112422955715E-01 a      1005     0    51     1     5
 -1.1792994919830622E+00 a      1006     0    51     1     6
 -2.9399852532317877E-01 a      1007     0    51     1     7
  1.0351889290266993E+00 a      1008     0    51     1     8
 -8.3076280639087519E-01 a      1009     0    51     1     9
 -2.5980169444868788E+00 a      1010     0    51     1    10
  6.3858440329081367E-01 a      1011     0    51     1    11
 -4.1124178259424365E-01 a      1012     0    51     1    12
 -1.7528718317817076E+00 a      1013     0    51     1    13
  2.9703474797566565E+00 a      1014     0    51     1    14
 -1.2120577611401018E+00 a      1015     0    51     1    15
 -3.5827033358247968E+00 a      1016     0    51     1    16
  5.1811292930900733E-02 a      1017     0    51     1    17
  3.4330620419146429E+00 a      1018     0    51     1    18
  1.0113696491212132E+00 a      1019     0    51     1    19
 -4.6670509412725275E-01 a      1020     0    51     1    20
  1.4404473177087289E+00 a      1021     0    52     1     1
  6.3448951106347407E+00 a      1022     0    52     1     2
  4.4766988056038670E+00 a      1023     0    52     1     3
 -7.9894501524530517E+00 a      1024     0    52     1     4
 -2.4206274189200752E+00 a      1025     0    52     1     5
  9.9814120306329601E-01 a      1026     0    52     1     6
 -1.5067744045177715E+01 a      1027     0    52     1     7
 -5.2132259751383014E-01 a      1028     0    52     1     8
 -3.4009507607406686E+00 a      1029     0    52     1     9
 -1.3350188077734144E+01 a      1030     0    52     1    10
  2.0586831898346114E+00 a      1031     0    52     1    11
  1.2369975391873347E+00 a      1032     0    52     1    12
  4.4480871388932597E+00 a      1033     0    52     1    13
  6.5257995995985263E-01 a      1034     0    52     1    14
 -5.0103529055129785E+00 a      1035     0    52     1    15
  5.8305739710276905E+00 a      1036     0    52     1    16
  4.8910631686468857E+00 a      1037     0    52     1    17
  5.6196599571105454E-01 a      1038     0    52     1    18
 -3.7574845906055289E-02 a      1039     0    52     1    19
 -1.4435920534241429E+00 a      1040     0    52     1    20
  3.7421252908133323E-01 a      1041     0    53     1     1
  1.3619930654771862E+01 a      1042     0    53     1     2
 -9.4011289063223344E+00 a      1043     0    53     1     3
  1.8647736326754540E+01 a      1044     0    53     1     4
  3.9640001045451774E+00 a      1045     0    53     1     5
  4.2704193165540980E+00 a      1046     0    53     1     6
  1.1803203237023162E+01 a      1047     0    53     1     7
 -4.4694035906770085E-01 a      1048     0    53     1     8
