################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -8.8972459126439389E+00 a       117     0     6     1    17
 -7.1462050919380040E+00 a       118     0     6     1    18
  1.6774824537406394E+00 a       119     0     6     1    19
 -6.0434242164648717E+00 a       120     0     6     1    20
  3.0377172930928664E-01 a       121     0     7     1     1
  5.2800721308052034E-01 a       122     0     7     1     2
 -7.9174618640414118E-01 a       123     0     7     1     3
 -2.9463541888065881E+00 a       124     0     7     1     4
 -2.3640161175634566E+00 a       125     0     7     1     5
 -2.1025621125473251E+00 a       126     0     7     1     6
  5.2520542550827782E+00 a       127     0     7     1     7
  1.4621063056396542E+00 a       128     0     7     1     8
  1.9546579252489553E+00 a       129     0     7     1     9
 -4.8485652166707069E+00 a       130     0     7     1    10
 -3.3332681020812555E-01 a       131     0     7     1    11
  1.9505062832480271E+00 a       132     0     7     1    12
  7.0305844722000732E-01 a       133     0     7     1    13
 -5.9755310699172854E+00 a       134     0     7     1    14
 -6.2656430980480871E-01 a       135     0     7     1    15
  5.3167320048959821E-01 a       136     0     7     1    16
 -6.3961804117797945E+00 a       137     0     7     1    17
 -4.8921175512242794E+00 a       138     0     7     1    18
  2.6659624065298995E+00 a       139     0     7     1    19
 -3.7380177454485439E+00 a       140     0     7     1    20
 -9.2399616069476664E-01 a       141     0     8     1     1
 -2.7580235133121462E+00 a       142     0     8     1     2
 -9.5791994814457357E+00 a       143     0     8     1     3
 -2.0574374837787692E+00 a       144     0     8     1     4
 -3.0637070394796813E+00 a       145     0     8     1     5
 -7.2413984627844852E-01 a       146     0     8     1     6
 -1.0546675659939497E+01 a       147     0     8     1     7
 -1.9232198819083834E+00 a       148     0     8     1     8
  2.1493885759962605E+00 a       149     0     8     1     9
  2.5448000925862768E+00 a       150     0     8     1    10
  2.1167022709541041E+00 a       151     0     8     1    11
  6.0754147678426884E+00 a       152     0     8     1    12
  2.3723494430787566E+00 a       153     0     8     1    13
 -2.7761537780668561E+00 a       154     0     8     1    14
 -6.1841303704352435E-01 a       155     0     8     1    15
