################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.9075505645068769E-01 a         1     0     1     1     1
 -2.8890945826040987E-02 a         2     0     1     1     2
  5.0059164005430723E-01 a         3     0     1     1     3
  3.9717120471144524E-01 a         4     0     1     1     4
 -1.4970144328762596E+00 a         5     0     1     1     5
  1.2943443570312434E+00 a         6     0     1     1     6
  2.5286455041562927E-01 a         7     0     1     1     7
  1.6625689219900144E+00 a         8     0     1     1     8
 -4.5971247592948156E-01 a         9     0     1     1     9
 -1.7190062330814399E-02 a        10     0     1     1    10
  1.4888862232864980E-01 a        11     0     1     1    11
  1.4317492004859621E-02 a        12     0     1     1    12
 -9.5449290965113398E-01 a        13     0     1     1    13
  1.4453879546370008E-01 a        14     0     1     1    14
  2.0921762594943929E+00 a        15     0     1     1    15
  2.2968438894634199E-01 a        16     0     1     1    16
  9.8155137509783041E-01 a        17     0     1     1    17
  3.4284631694009832E-01 a        18     0     1     1    18
 -2.8020100054824837E-01 a        19     0     1     1    19
  4.9390937481694042E-01 a        20     0     1     1    20
 -3.4420767916607448E-03 a        21     0     2     1     1
  3.3269455058019116E-03 a        22     0     2     1     2
  4.8753664747963185E-03 a        23     0     2     1     3
 -3.3068540673458829E-01 a        24     0     2     1     4
  2.0945319712178098E-01 a        25     0     2     1     5
 -3.8785174680985489E-02 a        26     0     2     1     6
  2.5670107395306788E-02 a        27     0     2     1     7
  1.8440132697606670E-01 a        28     0     2     1     8
  1.8098185886058674E-01 a        29     0     2     1     9
  3.7719490761751941E-02 a        30     0     2     1    10
  7.8843718667219054E-03 a        31     0     2     1    11
 -2.4592923727268881E-03 a        32     0     2     1    12
 -1.4696458785300329E-01 a        33     0     2     1    13
 -1.0240902962631949E-02 a        34     0     2     1    14
  9.4189191349352483E-02 a        35     0     2     1    15
  6.2816411637643829E-02 a        36     0     2     1    16
  1.0793845170628777E-01 a        37     0     2     1    17
  1.4354550862292318E-02 a        38     0     2     1    18
 -3.9954674752154071E-02 a        39     0     2     1    19
  5.6500066378925642E-02 a        40     0     2     1    20
  2.7124080652401739E-01 a        41     0     3     1     1
 -4.8528544230098655E-02 a        42     0     3     1     2
 -1.6538178939489701E+00 a        43     0     3     1     3
  1.8119037849646438E+00 a        44     0     3     1     4
 -3.1962106113964706E+00 a        45     0     3     1     5
  4.2013205334208098E-01 a        46     0     3     1     6
  2.3325818860558462E-01 a        47     0     3     1     7
  5.0482724593957169E+00 a        48     0     3     1     8
  7.4231851519425712E-02 a        49     0     3     1     9
 -9.5463944817037572E-02 a        50     0     3     1    10
 -1.8863091296325379E-01 a        51     0     3     1    11
 -5.6746719210177009E-02 a        52     0     3     1    12
 -2.9053324284916093E+00 a        53     0     3     1    13
  1.5085304173484759E-01 a        54     0     3     1    14
 -1.5018639257442359E-01 a        55     0     3     1    15
 -3.0292388071837456E-01 a        56     0     3     1    16
  2.3990954473557120E+00 a        57     0     3     1    17
 -3.0463995971525057E+00 a        58     0     3     1    18
 -1.3856010728611076E-01 a        59     0     3     1    19
 -8.8913577729316351E-01 a        60     0     3     1    20
  6.8176309238586097E-01 a        61     0     4     1     1
 -2.5224063397842095E-01 a        62     0     4     1     2
  2.6418837423847590E-02 a        63     0     4     1     3
 -2.2699373938392950E+00 a        64     0     4     1     4
 -2.8808807092219397E+00 a        65     0     4     1     5
  1.5108544120603087E+00 a        66     0     4     1     6
  3.4278207025918666E+00 a        67     0     4     1     7
  7.7136574707648204E+00 a        68     0     4     1     8
 -1.3057209721422971E+00 a        69     0     4     1     9
 -5.7785668758044340E-01 a        70     0     4     1    10
