################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.3361048122412804E-01 a        71     0     4     1    11
  5.6701212526628608E-01 a        72     0     4     1    12
 -6.6098227472165783E-01 a        73     0     4     1    13
  1.2252988814611137E+00 a        74     0     4     1    14
  8.8256260074111603E-01 a        75     0     4     1    15
  3.8092140623244580E-01 a        76     0     4     1    16
  4.4380648357085732E+00 a        77     0     4     1    17
  1.4844651758080096E+00 a        78     0     4     1    18
 -1.4901923935231618E+00 a        79     0     4     1    19
  9.9826789335246557E-01 a        80     0     4     1    20
 -2.8634305251947867E-01 a        81     0     5     1     1
 -4.4140465596224315E-01 a        82     0     5     1     2
  9.1173514182358972E-01 a        83     0     5     1     3
  5.4383369342224597E-01 a        84     0     5     1     4
  6.4712309401448942E-01 a        85     0     5     1     5
  1.6309984323518367E+00 a        86     0     5     1     6
 -5.9248550337870209E-01 a        87     0     5     1     7
  2.2649145432071216E+00 a        88     0     5     1     8
  3.8557138389079643E-01 a        89     0     5     1     9
 -3.6859603188732087E-01 a        90     0     5     1    10
 -2.9130038589815416E-02 a        91     0     5     1    11
 -6.8959429684074855E-02 a        92     0     5     1    12
 -2.3371599030931650E-01 a        93     0     5     1    13
 -2.1487157580081237E-01 a        94     0     5     1    14
 -6.6936950631492587E-01 a        95     0     5     1    15
 -2.0588168440976440E-02 a        96     0     5     1    16
  5.2522044624358977E-01 a        97     0     5     1    17
 -2.2457443168751279E-01 a        98     0     5     1    18
 -1.9694269852386453E-01 a        99     0     5     1    19
  2.1708612098114347E-01 a       100     0     5     1    20
  2.5423921306952866E+00 a       101     0     6     1     1
 -1.3947759013753540E+00 a       102     0     6     1     2
  7.0399428754165569E+00 a       103     0     6     1     3
 -3.9383520839169668E+00 a       104     0     6     1     4
 -2.8447269981698131E+00 a       105     0     6     1     5
  4.8304302387326885E+00 a       106     0     6     1     6
  8.8834490200807856E+00 a       107     0     6     1     7
  1.3794378427304920E+01 a       108     0     6     1     8
 -4.9357241566413306E+00 a       109     0     6     1     9
 -1.2162934791126880E+00 a       110     0     6     1    10
  1.3116445782293071E+00 a       111     0     6     1    11
  9.6304390377124871E-01 a       112     0     6     1    12
  4.6899393916485108E+00 a       113     0     6     1    13
  2.0421087541825602E+00 a       114     0     6     1    14
  7.0859437445151672E+00 a       115     0     6     1    15
  1.3096325674237212E+00 a       116     0     6     1    16
  1.3526849654562596E+01 a       117     0     6     1    17
  8.4916673810082699E+00 a       118     0     6     1    18
 -2.7527150546096162E+00 a       119     0     6     1    19
  2.1189704815443888E+00 a       120     0     6     1    20
  1.3659762311016941E+00 a       121     0     7     1     1
  1.5110510444917377E-01 a       122     0     7     1     2
 -8.6799655260365185E+00 a       123     0     7     1     3
  1.4334460965617279E+01 a       124     0     7     1     4
 -1.5426058984082498E+01 a       125     0     7     1     5
  2.6663058904390513E+00 a       126     0     7     1     6
  4.0420985442247725E-01 a       127     0     7     1     7
  2.6255985008086292E+01 a       128     0     7     1     8
  1.6056821276403606E+00 a       129     0     7     1     9
  5.8789101155729384E-01 a       130     0     7     1    10
 -3.5769505512946659E-01 a       131     0     7     1    11
  1.9060813347796243E-01 a       132     0     7     1    12
 -7.5844231469712060E+00 a       133     0     7     1    13
  7.6713958147961059E-02 a       134     0     7     1    14
 -1.2848110431762971E-01 a       135     0     7     1    15
 -1.8827032189276599E-01 a       136     0     7     1    16
  1.4185746728832939E+01 a       137     0     7     1    17
 -1.1256207003132522E+01 a       138     0     7     1    18
  5.8760094709048782E-01 a       139     0     7     1    19
 -2.9005067555620641E+00 a       140     0     7     1    20
  2.8647844630925983E+00 a       141     0     8     1     1
  2.6800276089343761E-01 a       142     0     8     1     2
 -1.9281498403341757E+00 a       143     0     8     1     3
  4.5831734260795223E+00 a       144     0     8     1     4
 -7.8961059549550567E+00 a       145     0     8     1     5
  7.0734438815733638E+00 a       146     0     8     1     6
 -2.0339718232935886E+00 a       147     0     8     1     7
  8.9112940430220107E+00 a       148     0     8     1     8
 -9.2819069141188704E-01 a       149     0     8     1     9
  8.9303890074209372E-02 a       150     0     8     1    10
  4.4072886092639252E-01 a       151     0     8     1    11
 -8.5081736771360869E-02 a       152     0     8     1    12
 -9.4406807559150607E+00 a       153     0     8     1    13
  1.2975749169464863E+00 a       154     0     8     1    14
  3.9656638131496913E+00 a       155     0     8     1    15
  9.5635391860596197E-01 a       156     0     8     1    16
  6.2166628327961782E+00 a       157     0     8     1    17
 -4.6390762758180726E+00 a       158     0     8     1    18
  5.2742441947953210E-02 a       159     0     8     1    19
  3.8933824605795420E+00 a       160     0     8     1    20
  8.8037934701823306E-01 a       161     0     9     1     1
 -2.3797421268317442E-01 a       162     0     9     1     2
 -7.9937400945440436E+00 a       163     0     9     1     3
  2.1701221999918442E+01 a       164     0     9     1     4
 -1.7202936921326760E+01 a       165     0     9     1     5
  8.6218933071662409E+00 a       166     0     9     1     6
 -2.4310921153102925E+00 a       167     0     9     1     7
  3.1360685041077218E+01 a       168     0     9     1     8
  7.3028767678115913E-01 a       169     0     9     1     9
  5.7338183414222155E-01 a       170     0     9     1    10
 -2.8996736033236487E-01 a       171     0     9     1    11
 -6.3783185323409475E-01 a       172     0     9     1    12
 -9.1361954867672157E+00 a       173     0     9     1    13
  9.2710509229284185E-02 a       174     0     9     1    14
  1.5432905372214762E+00 a       175     0     9     1    15
  1.1542743391594743E+00 a       176     0     9     1    16
  2.5879942421997487E+01 a       177     0     9     1    17
 -1.0109062339217674E+01 a       178     0     9     1    18
  3.2506495020265092E-01 a       179     0     9     1    19
 -3.5568077733902905E+00 a       180     0     9     1    20
  1.4599001037709840E+00 a       181     0    10     1     1
  1.7393133299059563E-01 a       182     0    10     1     2
 -2.1275718433796933E+00 a       183     0    10     1     3
  2.8416651669307500E+00 a       184     0    10     1     4
 -4.8619735136522069E+00 a       185     0    10     1     5
  3.8039619681022367E+00 a       186     0    10     1     6
 -1.4643464615983637E+00 a       187     0    10     1     7
  4.1370312608182562E+00 a       188     0    10     1     8
 -9.8681966349636296E-01 a       189     0    10     1     9
  1.5309163182730107E-01 a       190     0    10     1    10
  2.3635919293909197E-01 a       191     0    10     1    11
 -8.8421952000879309E-02 a       192     0    10     1    12
 -5.2061645932115281E+00 a       193     0    10     1    13
  5.6214818653672027E-01 a       194     0    10     1    14
  6.7618876573014419E-01 a       195     0    10     1    15
  7.5013740032080922E-01 a       196     0    10     1    16
  2.6400189313226434E+00 a       197     0    10     1    17
 -2.4466454804784474E+00 a       198     0    10     1    18
  1.6676898926297717E-01 a       199     0    10     1    19
  1.9562934479238780E+00 a       200     0    10     1    20
  1.3877719119265362E+00 a       201     0    11     1     1
 -6.6185594630028999E-01 a       202     0    11     1     2
 -1.1682951062783957E+01 a       203     0    11     1     3
  2.2986438830151904E+01 a       204     0    11     1     4
 -2.7971443188560251E+01 a       205     0    11     1     5
  1.0432189008429216E+01 a       206     0    11     1     6
 -1.5661189061699967E+00 a       207     0    11     1     7
  4.3589102235330870E+01 a       208     0    11     1     8
  2.2777856212770356E-01 a       209     0    11     1     9
 -1.1266180161874154E-02 a       210     0    11     1    10
 -6.5383030556860944E-01 a       211     0    11     1    11
 -9.0816251854860375E-01 a       212     0    11     1    12
 -2.0228647818453371E+01 a       213     0    11     1    13
  7.0247187433189040E-01 a       214     0    11     1    14
  1.5509470845808817E+00 a       215     0    11     1    15
 -5.4385758209895119E-01 a       216     0    11     1    16
  2.9799206131941844E+01 a       217     0    11     1    17
 -2.2362044776298266E+01 a       218     0    11     1    18
 -9.1887525014827365E-01 a       219     0    11     1    19
 -6.2883989800867903E+00 a       220     0    11     1    20
  2.1573619564366850E-01 a       221     0    12     1     1
  4.7330426429135087E-03 a       222     0    12     1     2
 -3.8436841912382824E-01 a       223     0    12     1     3
  4.0843094629208332E-01 a       224     0    12     1     4
 -6.9628261228188293E-01 a       225     0    12     1     5
  4.8560453358279743E-01 a       226     0    12     1     6
 -1.5999972669792481E-01 a       227     0    12     1     7
  6.8097244743004393E-01 a       228     0    12     1     8
 -1.6939359345558339E-01 a       229     0    12     1     9
  4.5252909162579978E-02 a       230     0    12     1    10
 -7.4958105600796937E-02 a       231     0    12     1    11
 -2.8873793315231051E-02 a       232     0    12     1    12
 -8.3923025032747911E-01 a       233     0    12     1    13
  1.1546762446840940E-01 a       234     0    12     1    14
 -5.6121237999765469E-02 a       235     0    12     1    15
  1.7101305715937076E-01 a       236     0    12     1    16
  2.9969340266582234E-01 a       237     0    12     1    17
 -2.4018653456527514E-01 a       238     0    12     1    18
 -5.3674466426718290E-02 a       239     0    12     1    19
  2.4378719546775909E-01 a       240     0    12     1    20
  1.0945906349513119E+00 a       241     0    13     1     1
 -4.0758102889561310E-01 a       242     0    13     1     2
 -8.4608623986551166E+00 a       243     0    13     1     3
  1.2444616962136493E+01 a       244     0    13     1     4
 -1.9147990974191178E+01 a       245     0    13     1     5
  5.3330657388015359E+00 a       246     0    13     1     6
  2.3117427342244087E-01 a       247     0    13     1     7
  2.9173763776006844E+01 a       248     0    13     1     8
  3.9382296835094105E-01 a       249     0    13     1     9
 -3.6361600650951703E-01 a       250     0    13     1    10
 -6.0036375323912139E-01 a       251     0    13     1    11
 -3.8718042536742359E-01 a       252     0    13     1    12
 -1.5888000273345755E+01 a       253     0    13     1    13
  5.6703251788793074E-01 a       254     0    13     1    14
 -2.6035132314978887E-01 a       255     0    13     1    15
 -1.1248993977829036E+00 a       256     0    13     1    16
  1.7363887544545989E+01 a       257     0    13     1    17
 -1.7368340227634736E+01 a       258     0    13     1    18
 -8.8210872372570437E-01 a       259     0    13     1    19
 -4.1637940692429698E+00 a       260     0    13     1    20
 -3.4652037115438966E-01 a       261     0    14     1     1
 -7.5136851929188566E+00 a       262     0    14     1     2
 -7.3219854107652367E+01 a       263     0    14     1     3
 -8.8587312810522249E+01 a       264     0    14     1     4
 -3.6977762226081786E+01 a       265     0    14     1     5
 -7.9701373774726264E+01 a       266     0    14     1     6
  4.3284883735763415E+01 a       267     0    14     1     7
 -2.8854100575703075E+02 a       268     0    14     1     8
  3.6958048778013868E+01 a       269     0    14     1     9
 -5.3309374316157090E+00 a       270     0    14     1    10
 -3.2553408600820575E+00 a       271     0    14     1    11
 -9.7222310472328193E+00 a       272     0    14     1    12
  1.2224396473005510E+02 a       273     0    14     1    13
 -2.1719531099925802E+00 a       274     0    14     1    14
 -3.5637647009457005E+01 a       275     0    14     1    15
 -2.9167767742533535E+01 a       276     0    14     1    16
 -1.5689392936787561E+02 a       277     0    14     1    17
 -3.6086273701477033E+01 a       278     0    14     1    18
 -2.9496123846828732E+00 a       279     0    14     1    19
 -6.9859665036019663E+01 a       280     0    14     1    20
 -3.1917323190959973E-01 a       281     0    15     1     1
  4.2666842237184044E-01 a       282     0    15     1     2
 -3.0491230240781642E+00 a       283     0    15     1     3
 -5.6409035267740704E+00 a       284     0    15     1     4
 -2.1929696198046753E-01 a       285     0    15     1     5
  1.2863121686114691E+00 a       286     0    15     1     6
  2.1639593260782468E+00 a       287     0    15     1     7
  8.4244287778976865E+00 a       288     0    15     1     8
 -6.5493472433631981E+00 a       289     0    15     1     9
 -2.6767165707492158E+00 a       290     0    15     1    10
  1.2797701563409902E+00 a       291     0    15     1    11
  1.1872187509603609E+00 a       292     0    15     1    12
 -5.9853644207102166E+00 a       293     0    15     1    13
 -5.9689151272565577E-01 a       294     0    15     1    14
  1.0181998257121838E+00 a       295     0    15     1    15
 -1.7081583846211292E+00 a       296     0    15     1    16
  4.6988306436295995E+00 a       297     0    15     1    17
 -5.2931983301159247E-01 a       298     0    15     1    18
 -2.3099722087918155E+00 a       299     0    15     1    19
  5.6247882489777892E+00 a       300     0    15     1    20
 -2.9365039961088835E+00 a       301     0    16     1     1
 -1.1765929806205497E+00 a       302     0    16     1     2
  1.0386216602554805E+01 a       303     0    16     1     3
 -1.8264160987696426E-01 a       304     0    16     1     4
 -9.4767481172877854E-01 a       305     0    16     1     5
  4.8279112052829305E+00 a       306     0    16     1     6
 -3.9835130375283510E+00 a       307     0    16     1     7
 -2.6660103530636365E+00 a       308     0    16     1     8
 -2.7366613550840300E+00 a       309     0    16     1     9
 -7.4240122079683768E-01 a       310     0    16     1    10
  1.1438869848103124E-01 a       311     0    16     1    11
 -3.2277908350744106E-01 a       312     0    16     1    12
  1.5107276000542718E+01 a       313     0    16     1    13
 -6.0107131206960784E-01 a       314     0    16     1    14
  4.2194819357387453E-01 a       315     0    16     1    15
 -3.7949453910757314E-01 a       316     0    16     1    16
 -3.9445829047655043E+00 a       317     0    16     1    17
  6.6736166645240544E+00 a       318     0    16     1    18
 -6.7139827399384311E-01 a       319     0    16     1    19
  1.5802951225090331E+00 a       320     0    16     1    20
  1.0048861980894319E+00 a       321     0    17     1     1
  8.8139933219798072E-01 a       322     0    17     1     2
 -1.5036175449941062E+01 a       323     0    17     1     3
 -2.7381232064592790E+01 a       324     0    17     1     4
 -2.0297874539029667E+01 a       325     0    17     1     5
  1.1822710493807190E+01 a       326     0    17     1     6
  1.6708028393151668E+01 a       327     0    17     1     7
  3.0793814372909114E+01 a       328     0    17     1     8
 -1.5822748745834129E+01 a       329     0    17     1     9
 -8.6151927551112362E+00 a       330     0    17     1    10
  4.2401867905334010E+00 a       331     0    17     1    11
  3.5145239265916244E+00 a       332     0    17     1    12
 -2.0160669171341748E+01 a       333     0    17     1    13
  1.0920237328165108E+00 a       334     0    17     1    14
  3.1283786712773693E+00 a       335     0    17     1    15
 -5.7854701229661094E+00 a       336     0    17     1    16
  3.1272302021438283E+00 a       337     0    17     1    17
 -2.0339749422226721E+00 a       338     0    17     1    18
 -9.6532699755889535E+00 a       339     0    17     1    19
  1.3026341776487765E+01 a       340     0    17     1    20
 -9.3594544831821302E+00 a       341     0    18     1     1
 -4.7418273567648379E+00 a       342     0    18     1     2
  2.8562020659446588E+01 a       343     0    18     1     3
 -5.1839904957904945E+00 a       344     0    18     1     4
 -7.1599016241534474E-01 a       345     0    18     1     5
  1.9333298760662160E+01 a       346     0    18     1     6
 -8.8340509794021660E+00 a       347     0    18     1     7
  6.9066160220000832E+00 a       348     0    18     1     8
 -1.2719830624165545E+00 a       349     0    18     1     9
 -2.9513463776930124E+00 a       350     0    18     1    10
  7.2109409007954262E-01 a       351     0    18     1    11
 -1.3658140479270167E+00 a       352     0    18     1    12
  4.4090417526776911E+01 a       353     0    18     1    13
 -2.0525631766032886E+00 a       354     0    18     1    14
  1.8363908875458990E+00 a       355     0    18     1    15
 -8.9436422524862724E-01 a       356     0    18     1    16
 -6.2005255034619964E+00 a       357     0    18     1    17
  1.5172225385044072E+01 a       358     0    18     1    18
 -2.1090880871604583E+00 a       359     0    18     1    19
  7.0517928619559225E+00 a       360     0    18     1    20
  3.2983689056681373E+00 a       361     0    19     1     1
  1.4767591876510500E+00 a       362     0    19     1     2
 -2.1015044926761597E+01 a       363     0    19     1     3
 -3.1749608994301258E+01 a       364     0    19     1     4
 -5.0410830697614664E+01 a       365     0    19     1     5
  1.3554650508223387E+01 a       366     0    19     1     6
  2.0591151891478610E+01 a       367     0    19     1     7
  4.4973781471760724E+01 a       368     0    19     1     8
 -5.6895556484919370E+00 a       369     0    19     1     9
 -9.0678298135202287E+00 a       370     0    19     1    10
  4.3734559906612400E+00 a       371     0    19     1    11
  4.1804090583827458E+00 a       372     0    19     1    12
 -2.7718257710335305E+01 a       373     0    19     1    13
  5.5794546594243188E+00 a       374     0    19     1    14
  1.6631240543369081E+00 a       375     0    19     1    15
 -3.8510769126631779E+00 a       376     0    19     1    16
 -1.9266505829498168E+00 a       377     0    19     1    17
 -2.5537917998774775E+00 a       378     0    19     1    18
 -1.3846923351837340E+01 a       379     0    19     1    19
  1.0217093860309754E+01 a       380     0    19     1    20
 -1.0471856144054442E+01 a       381     0    20     1     1
 -6.8935060417919454E+00 a       382     0    20     1     2
  2.5263734448558051E+01 a       383     0    20     1     3
 -7.0240545905807732E+00 a       384     0    20     1     4
  5.6377690565809067E+00 a       385     0    20     1     5
  3.0464432447378947E+01 a       386     0    20     1     6
 -8.7949174410062856E+00 a       387     0    20     1     7
  2.9305383972642460E+01 a       388     0    20     1     8
  8.1710043123692255E+00 a       389     0    20     1     9
 -5.2983169736291682E+00 a       390     0    20     1    10
  1.1871999063434961E+00 a       391     0    20     1    11
 -2.3459862126890627E+00 a       392     0    20     1    12
  3.3920237589123538E+01 a       393     0    20     1    13
 -3.4905766550401287E+00 a       394     0    20     1    14
 -4.4779992227059831E+00 a       395     0    20     1    15
 -1.4201786900746496E+00 a       396     0    20     1    16
  2.3417099913371651E+00 a       397     0    20     1    17
  1.0687475003400621E+01 a       398     0    20     1    18
 -2.2986415233697981E+00 a       399     0    20     1    19
  8.6669070536096235E+00 a       400     0    20     1    20
  6.5914387888064390E+00 a       401     0    21     1     1
  1.8469713415075164E+00 a       402     0    21     1     2
 -1.3943943111290009E+01 a       403     0    21     1     3
 -5.3149392076816593E+00 a       404     0    21     1     4
 -1.7211933108399720E+01 a       405     0    21     1     5
  7.7717374892271627E+00 a       406     0    21     1     6
  7.0928544611775637E+00 a       407     0    21     1     7
  1.9464186657567254E+01 a       408     0    21     1     8
 -1.7067988253492852E-01 a       409     0    21     1     9
 -2.0978713636987094E+00 a       410     0    21     1    10
  7.8161355262566523E-01 a       411     0    21     1    11
  1.2435358226740685E+00 a       412     0    21     1    12
 -1.9873524408655566E+01 a       413     0    21     1    13
  8.4552521639357945E+00 a       414     0    21     1    14
 -1.4163883266847900E+01 a       415     0    21     1    15
  5.0086089687213544E+00 a       416     0    21     1    16
 -6.5692615123132452E+00 a       417     0    21     1    17
 -1.7702878884855934E+01 a       418     0    21     1    18
 -3.9382036788839296E+00 a       419     0    21     1    19
  4.9737184309380158E+00 a       420     0    21     1    20
  3.1592776346273803E+00 a       421     0    22     1     1
 -9.9567343199822089E-01 a       422     0    22     1     2
 -1.9279301123781384E+01 a       423     0    22     1     3
  1.9398867780901728E+01 a       424     0    22     1     4
 -3.5834493741910180E+01 a       425     0    22     1     5
  3.9942647168538192E+00 a       426     0    22     1     6
  2.6520631016184932E+00 a       427     0    22     1     7
  5.7476945217407170E+01 a       428     0    22     1     8
  2.4596636767273172E+00 a       429     0    22     1     9
  4.7704353715372855E-01 a       430     0    22     1    10
 -7.0197647908831096E-01 a       431     0    22     1    11
  9.7485208536905998E-01 a       432     0    22     1    12
 -3.3601085136514378E+01 a       433     0    22     1    13
  2.1191297963533087E+00 a       434     0    22     1    14
 -6.9332506575735986E-01 a       435     0    22     1    15
 -3.9272819526241056E+00 a       436     0    22     1    16
  2.4195024707123835E+01 a       437     0    22     1    17
 -3.6610564534377914E+01 a       438     0    22     1    18
 -6.3744265691869262E-01 a       439     0    22     1    19
 -1.2663148698924648E+01 a       440     0    22     1    20
  6.5478462290319213E+00 a       441     0    23     1     1
  2.0544066801601377E+00 a       442     0    23     1     2
 -1.0417329191940970E+01 a       443     0    23     1     3
 -3.8574606838411181E+00 a       444     0    23     1     4
 -1.5106384540624392E+01 a       445     0    23     1     5
  8.7868659492022569E+00 a       446     0    23     1     6
  6.6186284947174423E+00 a       447     0    23     1     7
  2.6751192359956352E+01 a       448     0    23     1     8
 -1.5937249160943749E+00 a       449     0    23     1     9
 -1.8886685729141630E+00 a       450     0    23     1    10
  8.4295091243238340E-01 a       451     0    23     1    11
  1.6566356003070706E+00 a       452     0    23     1    12
 -2.0549415971912662E+01 a       453     0    23     1    13
  8.6186939379237693E+00 a       454     0    23     1    14
 -1.2714540338630798E+01 a       455     0    23     1    15
  5.7728115439742984E+00 a       456     0    23     1    16
 -1.9974418483901331E+00 a       457     0    23     1    17
 -1.4475034594840674E+01 a       458     0    23     1    18
 -4.2177488598339279E+00 a       459     0    23     1    19
  6.1906838461669036E+00 a       460     0    23     1    20
  1.6597840464309956E+00 a       461     0    24     1     1
  1.1290196615527235E+00 a       462     0    24     1     2
 -2.8469425111275952E+00 a       463     0    24     1     3
 -5.6470484703934041E+00 a       464     0    24     1     4
 -1.5072320031274495E+00 a       465     0    24     1     5
  2.1137279203142495E-01 a       466     0    24     1     6
  5.3967943653147179E+00 a       467     0    24     1     7
  1.2803660346452203E+01 a       468     0    24     1     8
 -6.7177021786426028E-01 a       469     0    24     1     9
 -1.0630359006742010E+00 a       470     0    24     1    10
 -4.1800849185102636E-02 a       471     0    24     1    11
  1.1434487746771618E+00 a       472     0    24     1    12
 -5.8290550764339590E+00 a       473     0    24     1    13
  4.1895274433039695E+00 a       474     0    24     1    14
 -9.7360458147467916E+00 a       475     0    24     1    15
  3.0654598357910734E+00 a       476     0    24     1    16
 -4.3927502528980886E+00 a       477     0    24     1    17
 -4.0435512056107923E+00 a       478     0    24     1    18
 -2.8437595758701377E+00 a       479     0    24     1    19
  1.2752707523002678E+00 a       480     0    24     1    20
  2.3314892288225026E+00 a       481     0    25     1     1
 -4.3507033993858402E-01 a       482     0    25     1     2
 -1.4554392472287331E+01 a       483     0    25     1     3
  2.6707768209144261E-01 a       484     0    25     1     4
 -2.3555460652000853E+01 a       485     0    25     1     5
 -5.5280180530516114E+00 a       486     0    25     1     6
  6.0330317207306843E+00 a       487     0    25     1     7
  3.3724023585283504E+01 a       488     0    25     1     8
  2.4216839230878957E+00 a       489     0    25     1     9
 -7.3080731568981247E-02 a       490     0    25     1    10
 -7.7197252072461497E-01 a       491     0    25     1    11
  1.9087177879772799E+00 a       492     0    25     1    12
 -2.7552329123033076E+01 a       493     0    25     1    13
  2.1983669888896036E+00 a       494     0    25     1    14
 -2.7241148232963024E+00 a       495     0    25     1    15
 -5.8145800907631582E+00 a       496     0    25     1    16
  8.1348453473195970E-02 a       497     0    25     1    17
 -3.0513765890849079E+01 a       498     0    25     1    18
 -8.3312873440789414E-01 a       499     0    25     1    19
 -1.0057338979922831E+01 a       500     0    25     1    20
 -1.0784677055281280E-01 a       501     0    26     1     1
  1.5880479481259077E-01 a       502     0    26     1     2
  7.2504668277112205E-01 a       503     0    26     1     3
 -2.3530233076507252E+00 a       504     0    26     1     4
  1.7690463794091884E+00 a       505     0    26     1     5
 -1.0113510167406363E+00 a       506     0    26     1     6
  1.4805680539550992E+00 a       507     0    26     1     7
  2.2898332846674863E+00 a       508     0    26     1     8
  5.8188952900990298E-01 a       509     0    26     1     9
 -3.0848417177648518E-01 a       510     0    26     1    10
 -1.4942373424046043E-01 a       511     0    26     1    11
  2.4780936962803171E-01 a       512     0    26     1    12
  4.2159212758763703E-01 a       513     0    26     1    13
  7.7078361207081647E-01 a       514     0    26     1    14
 -1.6298090491702371E+00 a       515     0    26     1    15
  3.9625416347217873E-01 a       516     0    26     1    16
 -1.2282423314670299E+00 a       517     0    26     1    17
 -1.6304296291607068E-01 a       518     0    26     1    18
 -7.8023010342176502E-01 a       519     0    26     1    19
 -1.7931208612895380E-01 a       520     0    26     1    20
  1.3395914347482640E+00 a       521     0    27     1     1
  1.7392566396893785E-01 a       522     0    27     1     2
 -8.2038196935451104E+00 a       523     0    27     1     3
 -1.8681580302981422E+00 a       524     0    27     1     4
 -8.8122784904250242E+00 a       525     0    27     1     5
 -6.7862122481399272E+00 a       526     0    27     1     6
  4.1243031209738179E+00 a       527     0    27     1     7
  1.4793298690838508E+01 a       528     0    27     1     8
  2.1530050692742217E+00 a       529     0    27     1     9
  3.0547532959360707E-01 a       530     0    27     1    10
