################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         29   1.3934804835608909E+00   8.0021073618965737E+00   5.8139507860081876E+00   9.4917185576228613E-01
         1         30   8.8527932028596112E-01   4.1049719942266476E+00   3.0931706141823310E+00   4.7631494000365904E-01
         1         31   1.6904973007915605E-01   7.2301452126523191E-01   5.4647418969674455E-01   8.5307011811325203E-02
         1         32   6.8497222468687474E-02   3.9730692961389380E-01   2.7584134752083489E-01   4.6063908382887896E-02
         1         33   3.7557998571117884E-01   1.8217485233447894E+00   1.2717767845825028E+00   2.0480051785556133E-01
         1         34   1.5894141853578783E-01   8.8098170550721455E-01   6.3258478494609338E-01   1.0696669299480570E-01
         1         35   5.1800323716598429E-01   2.6744753081740806E+00   1.9329291033279625E+00   3.0009040967375100E-01
         1         36   2.0327122316981031E-01   1.4112990031158217E+00   9.3238463048174869E-01   1.4779503944740655E-01
         1         37   4.3021554679183721E-01   3.0748720466011039E+00   2.2579619922630356E+00   3.9475548434374508E-01
         1         38   1.7950251998606895E-01   1.8311173085034411E+00   1.1362326537832041E+00   2.0161906542440033E-01
         1         39   3.1992521444229405E-01   3.2638115261436327E+00   2.0116641310521439E+00   4.1810603832485227E-01
         1         40   7.5708430398844465E-02   1.9972881300265188E+00   1.1650135777912047E+00   2.3953124311649537E-01
         1         41   3.3236877377597446E-01   2.7998870189715932E+00   1.6000630401321654E+00   3.5294032302033834E-01
         1         42   5.8035604016367179E-03   1.7413809077280811E+00   8.7792413243510481E-01   2.6311399005133596E-01
         1         43   1.5823256358346680E-01   2.5825286516066353E+00   1.4397320966294980E+00   2.4330085063476051E-01
         1         44   3.1104288097934371E-04   1.4080501493732238E+00   4.7566570463124130E-01   1.9343809631636202E-01
         1         45   9.3523441956184822E-04   1.4574388298160208E+00   5.3448663242744143E-01   2.0579687134038369E-01
         1         46   5.1910069927979089E-07   3.4213291975403286E-02   6.1876995534221688E-03   3.5101345226306278E-03
         1         47   1.5689825729063198E-04   6.7875246563090144E-02   2.3663481155702135E-02   9.2867227809788483E-03
         1         48   0.0000000000000000E+00   8.6724518738342388E-03   1.3981514384478293E-03   8.4837830533682570E-04
         1         49   1.3496455009597388E-03   3.2005155230926824E-01   1.1163964993742673E-01   4.1519780656449963E-02
         1         50   3.4253969978481646E-03   3.5022089096506576E-01   1.5396938270107249E-01   5.0741074513679381E-02
         1         51   2.9813479846615336E-04   1.0785264334137062E-01   4.9082896264626322E-02   1.6174565508802641E-02
         1         52   6.6634603308168283E-03   7.5206939238605985E-01   3.0477844581206964E-01   1.0947590086994537E-01
         1         53   2.3792276755639937E-02   9.3813521855654436E-01   4.7245806838139326E-01   1.4310963810041688E-01
         1         54   1.0693116970178632E-03   1.6161594880366814E-01   7.5022673516799934E-02   2.6810532727081261E-02
         1         55   1.9100349274802081E-05   2.7109143017812046E-02   1.1082315098494062E-02   3.5605526381468802E-03
         1         56   1.6814778195653277E-02   5.4545188365378361E-01   2.8160584218256102E-01   8.4073419872366856E-02
         1         57   1.3152073212566598E-07   1.9778237606700937E-02   5.0735692526922577E-03   2.5221546210850857E-03
         1         58   3.4323997294771988E-09   1.4565656096613136E-02   1.5511125579959625E-03   1.4184847322017676E-03
         1         59   7.2487017205411441E-04   1.1670375464612200E-01   3.8445974168370464E-02   1.6247919509871901E-02
         1         60   7.0556075577626488E-03   1.7648910644060087E-01   9.4304389900108143E-02   2.8956484931147712E-02
         1         61   5.7820494085206775E-05   1.7512683261820417E-02   5.1655230687582361E-03   2.2976171058439513E-03
         2          1   0.0000000000000000E+00   3.6942175762626692E-02   5.2771913041367311E-03   5.0822768677214547E-03
         2          2   2.8903267124818986E-13   1.5418853501928384E-01   4.7988103763570234E-03   8.9490905798492604E-03
         2          3   1.7034124674130014E-22   2.9408696270376993E-02   5.0167358938624621E-05   3.3066761078319630E-04
         2          4   7.6858877663001806E-04   1.0773495189869334E-01   5.5897089109632418E-02   1.7132814120072819E-02
         2          5   1.2614249186583350E-04   1.0432509419220386E-01   5.9925837772475031E-02   1.7620065874126411E-02
         2          6   7.2638959548846662E-04   2.6302255265704522E-01   9.8503897581832339E-02   3.4091302956792816E-02
         2          7   1.9442232309780344E-02   7.7941211969816837E-01   3.1751213747595552E-01   9.8730397215833224E-02
         2          8   4.5339142762846870E-13   2.9556433368384732E-01   3.0765062384263322E-02   3.4053609121346737E-02
         2          9   1.2331038548959405E-02   1.0900954415224142E+00   6.0981870844187780E-01   1.4643421285312944E-01
         2         10   5.4744924328951769E-21   2.2997622254848485E-01   3.5206977608641288E-03   1.1434616300981923E-02
         2         11   6.3338716094332975E-04   1.0474675314538213E+00   4.9444661480255558E-01   1.5303589725072761E-01
         2         12   2.0964881388565379E-33   1.5310354451490546E-01   2.2352200330260277E-04   2.8054314685032368E-03
         2         13   2.6331012767647749E-07   6.0545087249905682E-01   1.1713160425039239E-01   8.0308952381161230E-02
         2         14   3.5606785442280326E-52   7.9234104380733431E-02   7.5791056042052856E-06   3.9535737648024438E-04
         2         15   1.1844029856098651E-01   1.4348229488849384E+00   9.6742844853469601E-01   1.9215418263455336E-01
         2         16   7.0616856181319937E-02   3.2375416544957741E-01   2.2854111932566509E-01   3.5840700229470987E-02
         2         17   1.4015218242652245E-02   1.7570029427900311E-01   1.0450942878841617E-01   2.4545997265489745E-02
         2         18   1.3728704321272400E-01   9.0024310879668823E-01   5.7533293622316750E-01   9.4863274891843111E-02
         2         19   3.1265263596945293E-02   4.3870029014231315E-01   2.0859781770419628E-01   4.5728036496619898E-02
         2         20   1.1147022334511617E-01   1.3026239749278936E+00   8.9777857328801169E-01   1.7690470766330069E-01
